test_id,test_name,n,p_value,execution_time,status,interpretation,timestamp,passed,failed,chi2,z_score,spectral_entropy,max_entropy_ratio
01,Frequency Test (NIST),10000000000,0.3096231334992632,556.439778804779,completed,Frequency test PASSED with p-value 0.309623,2026-01-05T08:12:01.627545,True,False,10.525716772000003,,,
02,Runs Test (NIST),10000000000,0.2781078784458566,1211.2087941169739,completed,Runs test PASSED with p-value 0.278108,2026-01-05T08:32:12.870820,True,False,,1.0845796357227522,,
03,Block Frequency Test (NIST),10000000000,1.0,301.72551345825195,completed,Block frequency test PASSED with p-value 1.000000,2026-01-05T08:37:14.624037,True,False,500214.4658,,,
04,Entropy Analysis,10000000000,,1775.062599658966,completed,Entropy: 3.321928 / 3.321928 = 1.0000,2026-01-05T09:06:49.695468,False,False,,,,
05,Spectral FFT Analysis,10000000000,,14.315954446792603,completed,"Spectral entropy: 5.714473, detected 50000 gaps",2026-01-05T09:07:04.014974,False,False,,,5.714472770690918,
06,Compression Test,10000000000,,1090.8059430122375,completed,"Compression ratio: 0.469249 (lower = more random, sample: 100,000,000 cyfr)",2026-01-05T14:20:21.647129,False,False,,,,
07,Empirical Entropy Bounds,10000000000,,983.3842339515686,completed,Entropy analysis for 8 different N values,2026-01-05T09:31:43.967100,False,False,,,,0.9999999997714362
08,ML LSTM Anomaly Detection,10000000000,,0.0012776851654052734,completed,,2026-01-05T09:31:43.971672,False,False,,,,
09,Cumulative Sums Test (NIST),100000000,0.04157450226426962,1.9610710144042969,completed,Cumulative sums test PASSED with p-value 0.041575,2026-01-05T23:27:21.478314,True,False,,,,
10,Approximate Entropy Test (NIST),100000000,0.0015654067581928333,40.383493423461914,completed,Approximate entropy test FAILED with p-value 0.001565,2026-01-05T23:28:21.267922,False,True,9.999994705894533,,,
11,Serial Test (NIST),100000000,0.9233910421727757,20.89857792854309,completed,Serial test PASSED with p-value 0.923391,2026-01-05T23:28:59.497658,True,False,,,,
12,Linear Complexity Test (NIST),10000000000,2.7087998510921807e-11,1365.133682012558,completed,Linear complexity test FAILED with p-value 0.000000,2026-01-07T00:37:43.282572,False,True,88.47544210994052,,,
13,Random Excursions Test (NIST),10000000000,0.0,988.9109988212585,completed,Random Excursions test FAILED with p-value 0.000000,2026-01-07T01:16:49.718308,False,True,,,,
14,Random Excursions Variant Test (NIST),10000000000,0.0,934.8695986270905,completed,Random Excursions Variant test FAILED with p-value 0.000000,2026-01-07T01:32:24.616037,False,True,,,,
15,Universal Statistical Test (NIST),10000000,0.8019115880735006,1428.6270396709442,completed,Universal Statistical test PASSED with p-value 0.801912,2026-01-07T01:56:13.285533,True,False,,0.25087392060545993,,
16,Non-overlapping Template Matching Test (NIST),10000000000,2.2280621791992417e-11,1728.0010030269623,completed,Non-overlapping Template test FAILED with p-value 0.000000,2026-01-07T02:25:01.350006,False,True,,,,
17,Overlapping Template Matching Test (NIST),10000000000,0.770519691520401,1596.2079961299896,completed,Overlapping Template test PASSED with p-value 0.770520,2026-01-07T02:51:37.584686,True,False,,,,
18,BirthdaySpacings Test (SmallCrush),10000000,0.0,948.5649652481079,completed,BirthdaySpacings test FAILED with p-value 0.000000,2026-01-07T03:07:26.181833,False,True,91008178.3189189,,,
19,Collision Test (SmallCrush),10000000,1.0,930.4037978649139,completed,,2026-01-07T03:22:56.630953,False,False,0.0,,,
20,Gap Test (SmallCrush),10000000,0.5380065206890725,915.5881099700928,completed,,2026-01-07T03:38:12.246036,False,False,97.99610108232876,,,
21,SimplePoker Test,10000000,0.0,916.2375736236572,completed,,2026-01-07T03:53:28.502866,False,False,,,,
22,CouponCollector Test,10000000,0.2642135554867311,924.361579656601,completed,,2026-01-07T04:08:52.899044,False,False,,,,
23,MaxOft Test,10000000,0.0,922.6231060028076,completed,,2026-01-07T04:24:15.567044,False,False,,,,
24,WeightDistrib Test,10000000,0.2400621742752822,928.7526519298553,completed,,2026-01-07T04:39:44.345515,False,False,,,,
25,MatrixRank Test,1000000,,920.415833234787,completed,,2026-01-07T04:55:04.789101,False,False,,,,
26,HammingIndep Test,10000000,0.8188758282329331,924.6426367759705,completed,,2026-01-07T05:10:29.452052,False,False,,,,
27,RandomWalk1 Test,10000000,0.0,924.6870048046112,completed,,2026-01-07T05:25:54.191117,False,False,,,,
